,ID,duration,gamePeriod,health,number_alive,time,x,y
3717,72,739,3,100,21,20:54:43,1387.72890625,1576.1646875
3718,36,739,3,100,21,20:54:43,1988.52296875,1658.0503125
3713,28,739,3,100,21,20:54:43,1968.58453125,1274.01609375
3719,73,740,3,100,21,20:54:44,1334.43484375,1529.0221875
3720,61,742,3,100,21,20:54:46,2270.86359375,1592.99390625
3721,75,743,3,100,21,20:54:47,2662.9678125,678.655859375
3722,39,743,3,100,21,20:54:47,1879.0325,949.4065625
3723,89,743,3,100,21,20:54:47,1734.8675,847.16796875
3724,90,744,3,98.79998779296875,21,20:54:48,1759.59375,2110.81640625
4470,96,745,3,0,45,20:54:49,0.0,0.0
3725,53,745,3,100,20,20:54:49,2138.25359375,1023.941171875
3726,93,746,3,100,20,20:54:50,2568.41109375,954.609453125
3727,55,747,3,100,20,20:54:51,1095.8903125,1428.9540625
3730,85,748,3,91.39993286132812,20,20:54:52,1735.27640625,1985.43234375
3731,43,748,3,100,20,20:54:52,2608.73796875,786.04796875
3728,2,748,3,41.22359085083008,20,20:54:52,2635.0390625,2882.7984375
3729,5,748,3,18.085002899169922,20,20:54:52,2136.0571875,1660.199375
3733,28,749,3,100,20,20:54:53,1971.26234375,1234.04046875
3732,20,749,3,100,20,20:54:53,1409.1434375,1120.99046875
3734,31,749,3,82.19998168945312,20,20:54:53,2693.4821875,1018.398671875
3735,30,749,3,100,20,20:54:53,1525.04328125,1708.68375
3736,71,749,3,59.79995346069336,20,20:54:53,1855.34,1759.3515625
3737,72,749,3,100,20,20:54:53,1422.35796875,1531.07609375
3738,36,749,3,100,20,20:54:53,2027.8778125,1613.59046875
3739,73,750,3,100,20,20:54:54,1352.4971875,1528.3746875
3740,61,752,3,100,20,20:54:56,2269.7421875,1597.903125
3742,39,753,3,100,20,20:54:57,1889.97703125,961.575859375
3743,89,753,3,100,20,20:54:57,1734.86796875,847.240546875
3741,75,753,3,100,20,20:54:57,2644.226875,680.6415625
3744,90,754,3,92.79995727539062,20,20:54:58,1765.3209375,2121.06671875
3745,53,755,3,100,20,20:54:59,2139.7503125,1022.862578125
3746,93,756,3,100,20,20:55:00,2533.63296875,937.18328125
3747,55,757,3,100,20,20:55:01,1140.240859375,1442.3765625
3749,5,758,3,18.085002899169922,20,20:55:02,2133.60578125,1660.17671875
3751,43,758,3,100,20,20:55:02,2609.85453125,785.92390625
3748,2,758,3,35.0632438659668,20,20:55:02,2627.3240625,2821.220625
3750,85,758,3,86.39990234375,20,20:55:02,1738.3509375,1932.0871875
3752,20,759,3,100,20,20:55:03,1407.36875,1116.014453125
3753,28,759,3,100,20,20:55:03,1975.72453125,1241.505703125
3754,30,759,3,100,20,20:55:03,1533.2053125,1650.6146875
3755,31,759,3,82.19998168945312,20,20:55:03,2664.6478125,995.173671875
3756,71,759,3,72.79995727539062,20,20:55:03,1857.003125,1764.71453125
3757,72,759,3,100,20,20:55:03,1460.02703125,1485.7615625
3758,36,759,3,100,20,20:55:03,2047.24171875,1573.63671875
3759,73,760,3,100,20,20:55:04,1389.115,1486.51890625
3760,61,762,3,100,20,20:55:06,2255.0903125,1581.0065625
3761,75,763,3,100,20,20:55:07,2644.226875,680.6415625
3762,39,763,3,100,20,20:55:07,1906.810625,971.121796875
3763,89,763,3,100,20,20:55:07,1734.86796875,847.240546875
3764,90,764,3,86.7999267578125,20,20:55:08,1779.0159375,2119.15671875
3765,53,765,3,100,20,20:55:09,2143.6,1021.6915625
3766,93,766,3,100,20,20:55:10,2482.29109375,911.462265625
3767,55,767,3,100,20,20:55:11,1193.324765625,1435.1515625
3770,85,768,3,77.11509704589844,20,20:55:12,1740.453125,1877.65703125
3771,43,768,3,100,20,20:55:12,2609.85453125,785.92390625
3769,5,768,3,75,20,20:55:12,2127.3909375,1652.23515625
3768,2,768,3,32.017032623291016,20,20:55:12,2610.28359375,2764.17125
3778,36,769,3,100,20,20:55:13,2056.03015625,1525.52265625
3772,20,769,3,100,20,20:55:13,1413.08734375,1114.96359375
3773,28,769,3,100,20,20:55:13,1979.9403125,1243.08546875
3774,30,769,3,100,20,20:55:13,1529.53609375,1594.0734375
3775,31,769,3,82.19998168945312,20,20:55:13,2638.0796875,1028.34875
3776,71,769,3,75.79995727539062,20,20:55:13,1839.69109375,1786.0859375
3777,72,769,3,100,20,20:55:13,1500.813125,1446.59703125
3779,73,770,3,100,20,20:55:14,1411.0090625,1464.73078125
3780,61,772,3.5,100,20,20:55:16,2250.67109375,1522.65140625
3781,75,773,3.5,100,20,20:55:17,2627.1678125,668.401796875
3782,39,773,3.5,100,20,20:55:17,1944.76734375,1011.189296875
3783,89,773,3.5,100,20,20:55:17,1734.86796875,847.240546875
3784,90,774,3.5,80.79989624023438,20,20:55:18,1794.383125,2102.606875
3785,53,775,3.5,100,20,20:55:19,2141.1309375,1024.178984375
3786,93,776,3.5,100,20,20:55:20,2459.58453125,919.664375
3787,55,777,3.5,100,20,20:55:21,1247.17078125,1441.98046875
3788,2,778,3.5,74.09717559814453,20,20:55:22,2610.2828125,2764.1703125
3790,85,778,3.5,72.11506652832031,20,20:55:22,1754.11375,1856.61203125
3791,43,778,3.5,100,20,20:55:22,2607.84953125,785.765546875
3789,5,778,3.5,75,20,20:55:22,2127.6009375,1647.37140625
3792,20,779,3.5,100,20,20:55:23,1414.68640625,1121.855078125
3793,28,779,3.5,100,20,20:55:23,1977.11078125,1244.518046875
3794,31,779,3.5,82.19998168945312,20,20:55:23,2599.62890625,1060.79734375
3795,30,779,3.5,100,20,20:55:23,1511.1240625,1558.4225
3796,71,779,3.5,81.79995727539062,20,20:55:23,1866.81328125,1758.63671875
3797,72,779,3.5,100,20,20:55:23,1522.4225,1407.47609375
3798,36,779,3.5,100,20,20:55:23,2071.45,1469.5159375
3799,73,780,3.5,100,20,20:55:24,1433.69578125,1479.63484375
3800,61,782,3.5,100,20,20:55:26,2256.5053125,1488.53421875
3801,75,783,3.5,100,20,20:55:27,2579.08453125,675.866484375
3802,39,783,3.5,100,20,20:55:27,1956.3009375,1034.95796875
3803,89,783,3.5,100,20,20:55:27,1734.86796875,847.240546875
3804,90,784,3.5,74.79986572265625,20,20:55:28,1781.38234375,2074.1803125
3805,53,785,3.5,100,20,20:55:29,2142.53921875,1022.3990625
3806,93,786,3.5,100,20,20:55:30,2459.56171875,920.60609375
3807,55,787,3.5,100,20,20:55:31,1296.619453125,1421.65609375
3811,43,788,3.5,100,20,20:55:32,2612.283125,785.563046875
3810,85,788,3.5,70.11503601074219,20,20:55:32,1756.1675,1853.36875
3809,5,788,3.5,80,20,20:55:32,2145.44953125,1608.89515625
3808,2,788,3.5,68.10192108154297,20,20:55:32,2575.46796875,2716.283125
3818,36,789,3.5,100,19,20:55:33,2060.4546875,1411.6171875
3817,72,789,3.5,100,19,20:55:33,1533.0334375,1407.633125
3816,71,789,3.5,84.79995727539062,19,20:55:33,1907.8821875,1731.95390625
4471,73,789,3.5,0,20,20:55:33,1442.3059375,1489.69859375
3814,30,789,3.5,59.16250228881836,19,20:55:33,1509.33,1557.56109375
3813,28,789,3.5,100,20,20:55:33,1976.9203125,1226.84390625
3812,20,789,3.5,100,20,20:55:33,1411.65375,1136.071171875
3815,31,789,3.5,82.19998168945312,19,20:55:33,2548.69640625,1079.2103125
3819,73,790,3.5,0,19,20:55:34,1442.3059375,1489.69859375
3820,61,792,3.5,100,19,20:55:36,2287.06390625,1461.0465625
3821,75,793,3.5,100,19,20:55:37,2544.1921875,707.822109375
3822,39,793,3.5,100,19,20:55:37,1960.3465625,1033.966171875
3823,89,793,3.5,100,19,20:55:37,1734.86796875,847.240546875
3824,90,794,3.5,67.79983520507812,19,20:55:38,1746.8684375,2070.4153125
3825,53,795,3.5,100,19,20:55:39,2150.3921875,1021.986484375
3826,93,796,3.5,100,19,20:55:40,2438.6203125,917.25
3827,55,797,3.5,100,19,20:55:41,1350.8834375,1427.3940625
3828,2,798,3.5,62.17214584350586,19,20:55:42,2527.209375,2674.87625
3829,5,798,3.5,82,19,20:55:42,2125.88109375,1554.9075
3830,85,798,3.5,66.11500549316406,19,20:55:42,1768.43234375,1813.2834375
3831,43,798,3.5,100,19,20:55:42,2615.2921875,781.00921875
3832,20,799,3.5,100,19,20:55:43,1408.69359375,1142.324453125
3833,28,799,3.5,100,19,20:55:43,1978.5115625,1244.92125
3834,31,799,3.5,82.19998168945312,19,20:55:43,2493.45921875,1076.57546875
3835,30,799,3.5,60.16250228881836,19,20:55:43,1477.646875,1518.41609375
3836,71,799,3.5,87.79995727539062,19,20:55:43,1952.61203125,1686.1515625
3837,72,799,3.5,100,19,20:55:43,1537.2009375,1402.20203125
3838,36,799,3.5,100,19,20:55:43,2065.9015625,1380.99203125
3839,73,800,3.5,0,19,20:55:44,1442.3059375,1489.69859375
